1,2018-01-01 10:14:32, lat, long, 2, x
2,2018-01-01 10:14:37, lat, long, 2, x
3,2018-01-01 10:14:39, lat, long, 2, x
4,2018-01-01 10:14:42, lat, long, 2, x
5,2018-01-01 10:14:48, lat, long, 0, x
6,2018-01-01 10:14:52, lat, long, 0, x
7,2018-01-01 10:14:56, lat, long, 2, x
8,2018-01-01 10:14:58, lat, long, 2, x
9,2018-01-01 10:15:01, lat, long, 2, y
10,2018-01-01 10:15:03, lat, long, 2, x
11,2018-01-01 10:15:13, lat, long, 2, y
12,2018-01-01 10:15:24, lat, long, 2, y
13,2018-01-01 10:15:32, lat, long, 0, y
